feature,mean_importance,std_importance,min_importance,max_importance,methods_count,group
days_in_bin_35_40,0.009485118867716535,0.002580674083891901,0.0059594755661501785,0.012980683796394485,4,temperature_bins
nightlight_rural,0.009327577395465254,0.01590232196424429,0.0,0.036869652061723344,3,socioeconomic_categorical
days_in_bin_35_40_x_canopy,0.008355068865697493,0.011809723455961476,0.0,0.028690042827028937,3,temperature_interactions
days_in_bin_0_5_x_canopy,0.007657639179197703,0.010546236777062694,0.0,0.02584575133790182,3,temperature_interactions
extreme_hot_days,0.006861262797630551,0.004805832019009271,0.0,0.013422476722627794,3,temperature_derived
days_in_bin_neg5_0_x_canopy,0.006714267742602258,0.008508748711620055,0.0011918951132300357,0.021424848195535067,4,temperature_interactions
days_in_bin_15_20_x_canopy,0.0058914904332516525,0.00368642657403387,0.0011918951132300357,0.01152715277637502,4,temperature_interactions
season_summer,0.005883743860331652,0.006631180334329242,0.0,0.01698391449969205,3,seasonal
gdp_medium_gdp,0.005774900541431312,0.004857998194945422,0.0,0.013110846245530394,3,socioeconomic_categorical
days_in_bin_below_neg10_x_canopy,0.005388575998419984,0.006808615014657023,0.0,0.01686035525736181,3,temperature_interactions
canopy_medium_canopy,0.00487830590781012,0.007638810111632045,0.0,0.01806968000869996,2,canopy
days_in_bin_40_plus,0.004711490290385774,0.006690641129411479,0.0,0.016224465768358363,3,temperature_bins
season_winter,0.004162085479690528,0.004173845774581943,0.0011918951132300357,0.011365750136744266,4,seasonal
days_in_bin_25_30_x_canopy,0.0029280838038093135,0.002535069331345698,0.0,0.0067247270026297495,3,temperature_interactions
gdp_unknown,0.002140647813850572,0.0036873549929468297,0.0,0.008527292332695821,3,socioeconomic_categorical
days_in_bin_40_plus_x_canopy,0.002085086968333937,0.003426211260722762,0.0,0.008015615842420174,3,temperature_interactions
season_autumn,0.0020326893450145355,0.0008414094352121795,0.0007958900259023848,0.003102716411314438,4,seasonal
canopy_high_canopy,0.0019380666798556891,0.002647112440901778,0.0,0.006426075248935568,2,canopy
